#CSGO_crate_musickit_masterminds2_capsule
#CSGO_crate_musickit_masterminds2_stattrak_capsule
Special Agent Ava | FBI
StatTrak™ AK-47 | Slate (Minimal Wear)
StatTrak™ AK-47 | Slate (Well-Worn)
StatTrak™ AK-47 | Slate (Battle-Scarred)
StatTrak™ AK-47 | Slate (Field-Tested)
StatTrak™ AK-47 | Slate (Factory New)
StatTrak™ AK-47 | Elite Build (Minimal Wear)
StatTrak™ AK-47 | Elite Build (Well-Worn)
StatTrak™ AK-47 | Elite Build (Battle-Scarred)
StatTrak™ AK-47 | Elite Build (Field-Tested)
StatTrak™ AK-47 | Elite Build (Factory New)
StatTrak™ AK-47 | Jaguar (Minimal Wear)
StatTrak™ AK-47 | Jaguar (Well-Worn)
StatTrak™ AK-47 | Jaguar (Battle-Scarred)
StatTrak™ AK-47 | Jaguar (Field-Tested)
StatTrak™ AK-47 | Cartel (Minimal Wear)
StatTrak™ AK-47 | Cartel (Well-Worn)
StatTrak™ AK-47 | Cartel (Battle-Scarred)
StatTrak™ AK-47 | Cartel (Field-Tested)
StatTrak™ AK-47 | Cartel (Factory New)
StatTrak™ AK-47 | Bloodsport (Minimal Wear)
StatTrak™ AK-47 | Bloodsport (Well-Worn)
StatTrak™ AK-47 | Bloodsport (Field-Tested)
StatTrak™ AK-47 | Bloodsport (Factory New)
StatTrak™ AK-47 | Leet Museo (Minimal Wear)
StatTrak™ AK-47 | Leet Museo (Well-Worn)
StatTrak™ AK-47 | Leet Museo (Battle-Scarred)
StatTrak™ AK-47 | Leet Museo (Field-Tested)
StatTrak™ AK-47 | Leet Museo (Factory New)
StatTrak™ AK-47 | Legion of Anubis (Minimal Wear)
StatTrak™ AK-47 | Legion of Anubis (Well-Worn)
StatTrak™ AK-47 | Legion of Anubis (Battle-Scarred)
StatTrak™ AK-47 | Legion of Anubis (Field-Tested)
StatTrak™ AK-47 | Legion of Anubis (Factory New)
StatTrak™ AK-47 | Frontside Misty (Minimal Wear)
StatTrak™ AK-47 | Frontside Misty (Well-Worn)
StatTrak™ AK-47 | Frontside Misty (Battle-Scarred)
StatTrak™ AK-47 | Frontside Misty (Field-Tested)
StatTrak™ AK-47 | Frontside Misty (Factory New)
StatTrak™ AK-47 | Neon Revolution (Minimal Wear)
StatTrak™ AK-47 | Neon Revolution (Well-Worn)
StatTrak™ AK-47 | Neon Revolution (Battle-Scarred)
StatTrak™ AK-47 | Neon Revolution (Field-Tested)
StatTrak™ AK-47 | Neon Revolution (Factory New)
StatTrak™ AK-47 | Neon Rider (Minimal Wear)
StatTrak™ AK-47 | Neon Rider (Well-Worn)
StatTrak™ AK-47 | Neon Rider (Battle-Scarred)
StatTrak™ AK-47 | Neon Rider (Field-Tested)
StatTrak™ AK-47 | Neon Rider (Factory New)
StatTrak™ AK-47 | Blue Laminate (Minimal Wear)
StatTrak™ AK-47 | Blue Laminate (Well-Worn)
StatTrak™ AK-47 | Blue Laminate (Field-Tested)
StatTrak™ AK-47 | Blue Laminate (Factory New)
StatTrak™ AK-47 | Nightwish (Minimal Wear)
StatTrak™ AK-47 | Nightwish (Well-Worn)
StatTrak™ AK-47 | Nightwish (Battle-Scarred)
StatTrak™ AK-47 | Nightwish (Field-Tested)
StatTrak™ AK-47 | Nightwish (Factory New)
StatTrak™ AK-47 | Aquamarine Revenge (Minimal Wear)
StatTrak™ AK-47 | Aquamarine Revenge (Well-Worn)
StatTrak™ AK-47 | Aquamarine Revenge (Battle-Scarred)
StatTrak™ AK-47 | Aquamarine Revenge (Field-Tested)
StatTrak™ AK-47 | Aquamarine Revenge (Factory New)
StatTrak™ AK-47 | The Oligarch (Minimal Wear)
StatTrak™ AK-47 | The Oligarch (Well-Worn)
StatTrak™ AK-47 | The Oligarch (Battle-Scarred)
StatTrak™ AK-47 | The Oligarch (Field-Tested)
StatTrak™ AK-47 | Orbit Mk01 (Minimal Wear)
StatTrak™ AK-47 | Orbit Mk01 (Well-Worn)
StatTrak™ AK-47 | Orbit Mk01 (Battle-Scarred)
StatTrak™ AK-47 | Orbit Mk01 (Field-Tested)
StatTrak™ AK-47 | Orbit Mk01 (Factory New)
StatTrak™ AK-47 | Searing Rage (Minimal Wear)
StatTrak™ AK-47 | Searing Rage (Well-Worn)
StatTrak™ AK-47 | Searing Rage (Battle-Scarred)
StatTrak™ AK-47 | Searing Rage (Field-Tested)
StatTrak™ AK-47 | Searing Rage (Factory New)
StatTrak™ AK-47 | Inheritance (Minimal Wear)
StatTrak™ AK-47 | Inheritance (Well-Worn)
StatTrak™ AK-47 | Inheritance (Battle-Scarred)
StatTrak™ AK-47 | Inheritance (Field-Tested)
StatTrak™ AK-47 | Inheritance (Factory New)
StatTrak™ AK-47 | Wasteland Rebel (Minimal Wear)
StatTrak™ AK-47 | Wasteland Rebel (Well-Worn)
StatTrak™ AK-47 | Wasteland Rebel (Battle-Scarred)
StatTrak™ AK-47 | Wasteland Rebel (Field-Tested)
StatTrak™ AK-47 | Rat Rod (Minimal Wear)
StatTrak™ AK-47 | Rat Rod (Well-Worn)
StatTrak™ AK-47 | Rat Rod (Battle-Scarred)
StatTrak™ AK-47 | Rat Rod (Field-Tested)
StatTrak™ AK-47 | Rat Rod (Factory New)
StatTrak™ AK-47 | Point Disarray (Minimal Wear)
StatTrak™ AK-47 | Point Disarray (Well-Worn)
StatTrak™ AK-47 | Point Disarray (Battle-Scarred)
StatTrak™ AK-47 | Point Disarray (Field-Tested)
StatTrak™ AK-47 | Point Disarray (Factory New)
StatTrak™ AK-47 | Case Hardened (Minimal Wear)
StatTrak™ AK-47 | Case Hardened (Well-Worn)
StatTrak™ AK-47 | Case Hardened (Battle-Scarred)
StatTrak™ AK-47 | Case Hardened (Field-Tested)
StatTrak™ AK-47 | Case Hardened (Factory New)
StatTrak™ AK-47 | Head Shot (Minimal Wear)
StatTrak™ AK-47 | Head Shot (Well-Worn)
StatTrak™ AK-47 | Head Shot (Battle-Scarred)
StatTrak™ AK-47 | Head Shot (Field-Tested)
StatTrak™ AK-47 | Head Shot (Factory New)
StatTrak™ AK-47 | Phantom Disruptor (Minimal Wear)
StatTrak™ AK-47 | Phantom Disruptor (Well-Worn)
StatTrak™ AK-47 | Phantom Disruptor (Battle-Scarred)
StatTrak™ AK-47 | Phantom Disruptor (Field-Tested)
StatTrak™ AK-47 | Phantom Disruptor (Factory New)
StatTrak™ AK-47 | Fuel Injector (Minimal Wear)
StatTrak™ AK-47 | Fuel Injector (Well-Worn)
StatTrak™ AK-47 | Fuel Injector (Battle-Scarred)
StatTrak™ AK-47 | Fuel Injector (Field-Tested)
StatTrak™ AK-47 | Fuel Injector (Factory New)
StatTrak™ AK-47 | Vulcan (Minimal Wear)
StatTrak™ AK-47 | Vulcan (Well-Worn)
StatTrak™ AK-47 | Vulcan (Battle-Scarred)
StatTrak™ AK-47 | Vulcan (Field-Tested)
StatTrak™ AK-47 | Ice Coaled (Minimal Wear)
StatTrak™ AK-47 | Ice Coaled (Well-Worn)
StatTrak™ AK-47 | Ice Coaled (Battle-Scarred)
StatTrak™ AK-47 | Ice Coaled (Field-Tested)
StatTrak™ AK-47 | Ice Coaled (Factory New)
AK-47 | Asiimov (Minimal Wear)
AK-47 | Asiimov (Well-Worn)
AK-47 | Asiimov (Battle-Scarred)
AK-47 | Asiimov (Field-Tested)
AK-47 | Asiimov (Factory New)
AK-47 | Baroque Purple (Minimal Wear)
AK-47 | Baroque Purple (Well-Worn)
AK-47 | Baroque Purple (Battle-Scarred)
AK-47 | Baroque Purple (Field-Tested)
AK-47 | Baroque Purple (Factory New)
AK-47 | The Empress (Minimal Wear)
AK-47 | The Empress (Well-Worn)
AK-47 | The Empress (Battle-Scarred)
AK-47 | The Empress (Field-Tested)
AK-47 | The Empress (Factory New)
AK-47 | Black Laminate (Minimal Wear)
AK-47 | Black Laminate (Well-Worn)
AK-47 | Black Laminate (Battle-Scarred)
AK-47 | Black Laminate (Field-Tested)
AK-47 | Black Laminate (Factory New)
AK-47 | Redline (Minimal Wear)
AK-47 | Redline (Well-Worn)
AK-47 | Redline (Battle-Scarred)
AK-47 | Redline (Field-Tested)
AK-47 | Red Laminate (Minimal Wear)
AK-47 | Red Laminate (Well-Worn)
AK-47 | Red Laminate (Battle-Scarred)
AK-47 | Red Laminate (Field-Tested)
AK-47 | Red Laminate (Factory New)
AK-47 | Slate (Minimal Wear)
AK-47 | Slate (Well-Worn)
AK-47 | Slate (Battle-Scarred)
AK-47 | Slate (Field-Tested)
AK-47 | Slate (Factory New)
AK-47 | Elite Build (Minimal Wear)
AK-47 | Elite Build (Well-Worn)
AK-47 | Elite Build (Battle-Scarred)
AK-47 | Elite Build (Field-Tested)
AK-47 | Elite Build (Factory New)
AK-47 | Wintergreen (Minimal Wear)
AK-47 | Wintergreen (Well-Worn)
AK-47 | Wintergreen (Battle-Scarred)
AK-47 | Wintergreen (Field-Tested)
AK-47 | Wintergreen (Factory New)
AK-47 | Hydroponic (Well-Worn)
AK-47 | Hydroponic (Battle-Scarred)
AK-47 | Jaguar (Minimal Wear)
AK-47 | Jaguar (Well-Worn)
AK-47 | Jaguar (Battle-Scarred)
AK-47 | Jaguar (Field-Tested)
AK-47 | Jaguar (Factory New)
AK-47 | Panthera onca (Minimal Wear)
AK-47 | Panthera onca (Well-Worn)
AK-47 | Panthera onca (Battle-Scarred)
AK-47 | Panthera onca (Field-Tested)
AK-47 | Panthera onca (Factory New)
AK-47 | Cartel (Minimal Wear)
AK-47 | Cartel (Well-Worn)
AK-47 | Cartel (Battle-Scarred)
AK-47 | Cartel (Field-Tested)
AK-47 | Cartel (Factory New)
AK-47 | Jungle Spray (Minimal Wear)
AK-47 | Jungle Spray (Well-Worn)
AK-47 | Jungle Spray (Battle-Scarred)
AK-47 | Jungle Spray (Field-Tested)
AK-47 | Jungle Spray (Factory New)
AK-47 | Bloodsport (Minimal Wear)
AK-47 | Bloodsport (Well-Worn)
AK-47 | Bloodsport (Field-Tested)
AK-47 | Bloodsport (Factory New)
AK-47 | Leet Museo (Minimal Wear)
AK-47 | Leet Museo (Well-Worn)
AK-47 | Leet Museo (Battle-Scarred)
AK-47 | Leet Museo (Field-Tested)
AK-47 | Leet Museo (Factory New)
AK-47 | Legion of Anubis (Minimal Wear)
AK-47 | Legion of Anubis (Well-Worn)
AK-47 | Legion of Anubis (Battle-Scarred)
